temperature,control
23.112085349053274,71.0
21.569216672540286,71.0
21.896491846346073,71.0
22.55104219395764,71.0
20.54063755486495,71.0
22.036752635119974,71.0
20.821159132412774,71.0
23.532867715374998,71.0
23.719882100406878,71.0
20.634144747380894,71.0
23.626374907890934,71.0
23.673128504148906,71.0
25.496518758209717,71.0
23.299099734085154,71.0
25.636779546983625,71.0
23.065331752795302,71.0
26.665358664658953,71.0
25.2159971806619,71.0
26.57185147214301,71.0
26.10431550956332,71.0
29.517328036395085,71.0
27.039387434722713,71.0
29.7978496139429,71.0
27.600430589818338,71.0
28.39524172620382,71.0
30.919935924134172,71.0
32.696572581937005,71.0
27.927705763624132,71.0
30.452399961554477,71.0
31.293964694197925,71.0
33.117354948258736,71.0
30.12512478774869,71.0
30.545907154070413,71.0
32.27579021561529,71.0
33.02384775574279,71.0
34.80048441354563,71.0
34.61347002851376,71.0
33.21086214077468,71.0
31.060196712908073,71.0
34.61347002851376,71.0
32.08877583058341,71.0
35.782309934962996,71.0
33.44463012206452,71.0
36.57712107134847,71.0
34.19268766219203,71.0
36.670628263864415,71.0
35.03425239483548,71.0
37.09141063018613,71.0
36.20309230128473,71.0
37.699207381539736,71.0
37.04465703392816,71.0
37.51219299650786,71.0
38.914800884246944,71.0
37.46543940024989,71.0
37.558946592765835,71.0
40.17714798321211,71.0
40.92520552333963,71.0
39.19532246179476,71.0
40.03688719443821,71.0
42.18755262230481,71.0
38.821293691731,71.0
42.37456700733668,71.0
41.62650946720916,71.0
41.48624867843526,71.0
42.88885656617434,71.0
40.41091596450197,71.0
43.59016051004389,71.0
42.93561016243231,71.0
42.70184218114247,71.0
41.43949508217729,71.0
44.431725242687335,71.0
44.29146445391342,71.0
44.15120366513952,71.0
44.946014801524996,71.0
45.4135507641047,71.0
43.543406913785915,71.0
45.50705795662064,71.0
45.88108672668439,71.0
46.722651459327835,71.0
47.236941018165496,71.0
45.60056514913657,71.0
47.984998558293015,71.0
48.031752154550986,71.0
49.10708486848428,71.0
48.592795309646604,71.0
49.66812802357991,71.0
49.66812802357991,71.0
52.00580783647838,71.0
49.52786723480601,71.0
49.99540319738571,71.0
48.359027328356774,71.0
52.987633357895746,71.0
51.91230064396244,71.0
49.94864960112774,71.0
52.099315028994326,71.0
51.49151827764072,71.0
51.164243103834934,71.0
51.07073591131899,71.0
54.67076282318263,71.0
55.88635632588985,71.0
55.83960272963188,71.0
54.95128440073046,71.0
55.0447915932464,71.0
55.60583474834203,71.0
55.60583474834203,71.0
55.83960272963188,71.0
54.62400922692467,71.0
54.5772556306667,71.0
58.083775350014406,71.0
58.037021753756434,71.0
56.07337071092172,71.0
55.1850523820203,71.0
57.3357178098869,71.0
59.57989043026943,71.0
59.90716560407522,71.0
59.7669048153013,71.0
58.22403613878832,71.0
61.917570243167916,71.0
60.56171595168678,71.0
58.13052894627238,71.0
61.870816646909944,12.0
61.96432383942587,12.0
61.637048665620085,12.0
62.33835260948962,12.0
60.28119437413898,12.0
62.19809182071572,12.0
62.38510620574759,12.0
59.6266440265274,12.0
63.553946112196826,12.0
60.98249831800851,12.0
61.122759106782425,12.0
62.19809182071572,12.0
63.50719251593887,12.0
62.104584628199774,12.0
61.35652708807227,12.0
61.82406305065197,12.0
61.777309454394,12.0
62.57212059077948,12.0
61.122759106782425,12.0
61.02925191426648,12.0
62.71238137955338,12.0
61.777309454394,12.0
60.094179989107104,12.0
63.50719251593887,12.0
62.99290295710121,12.0
63.69420690097074,12.0
61.917570243167916,12.0
61.82406305065197,12.0
63.17991734213308,12.0
63.881221286002614,12.0
63.36693172716497,12.0
64.53577163361419,12.0
61.870816646909944,12.0
61.870816646909944,12.0
61.45003428058821,12.0
61.59029506936213,12.0
61.263019895556326,12.0
64.11498926729246,12.0
60.140933585365076,12.0
63.74096049722871,12.0
61.216266299298354,12.0
64.58252522987216,12.0
63.69420690097074,12.0
61.777309454394,12.0
62.47861339826353,12.0
61.777309454394,12.0
62.75913497581135,12.0
61.82406305065197,12.0
61.777309454394,12.0
62.899395764585265,12.0
64.90980040367795,12.0
64.16174286355043,12.0
61.777309454394,12.0
63.13316374587511,12.0
61.35652708807227,12.0
63.553946112196826,12.0
64.02148207477653,12.0
61.917570243167916,12.0
62.33835260948962,12.0
62.75913497581135,12.0
61.543541473104156,12.0
63.69420690097074,12.0
63.927974882260585,12.0
64.39551084484029,12.0
61.40328068433024,12.0
61.45003428058821,12.0
61.07600551052445,12.0
62.43185980200556,12.0
62.525366994521505,12.0
60.468208759170864,12.0
63.69420690097074,12.0
61.870816646909944,12.0
64.34875724858232,12.0
64.30200365232434,12.0
62.19809182071572,12.0
62.24484541697369,12.0
60.51496235542882,12.0
61.96432383942587,12.0
62.29159901323166,12.0
61.45003428058821,12.0
62.19809182071572,12.0
60.748730336718666,12.0
62.47861339826353,12.0
62.899395764585265,12.0
60.18768718162303,12.0
62.24484541697369,12.0
62.01107743568383,12.0
61.3097734918143,12.0
62.71238137955338,12.0
60.42145516291289,12.0
62.665627783295406,12.0
60.51496235542882,12.0
62.61887418703745,12.0
61.637048665620085,12.0
62.525366994521505,12.0
62.899395764585265,12.0
62.33835260948962,12.0
63.413685323422925,12.0
60.93574472175054,12.0
60.32794797039695,12.0
61.40328068433024,12.0
60.98249831800851,12.0
60.32794797039695,12.0
59.53313683401146,12.0
63.36693172716497,12.0
60.701976740460694,12.0
58.36429692756222,12.0
62.47861339826353,12.0
62.99290295710121,12.0
59.813658411559274,12.0
61.543541473104156,12.0
60.701976740460694,12.0
61.59029506936213,12.0
61.82406305065197,12.0
59.90716560407522,12.0
61.496787876846184,12.0
60.65522314420272,12.0
59.11235446768973,12.0
61.543541473104156,12.0
61.45003428058821,12.0
59.11235446768973,12.0
62.61887418703745,12.0
60.60846954794475,12.0
59.346122448979585,12.0
61.543541473104156,12.0
58.457804120078166,12.0
59.53313683401146,30.0
62.43185980200556,30.0
61.07600551052445,30.0
58.8785864863999,30.0
61.870816646909944,30.0
59.065600871431755,30.0
59.11235446768973,30.0
60.094179989107104,30.0
59.11235446768973,30.0
62.665627783295406,30.0
61.3097734918143,30.0
59.346122448979585,30.0
59.065600871431755,30.0
59.57989043026943,30.0
61.216266299298354,30.0
58.73832569762598,30.0
60.18768718162303,30.0
57.47597859866082,30.0
60.56171595168678,30.0
57.75650017620862,30.0
60.37470156665492,30.0
58.36429692756222,30.0
58.411050523820194,30.0
60.701976740460694,30.0
60.32794797039695,30.0
60.60846954794475,30.0
61.122759106782425,30.0
59.065600871431755,30.0
59.11235446768973,30.0
62.47861339826353,30.0
57.80325377246659,30.0
59.01884727517378,30.0
59.39287604523756,30.0
61.1695127030404,30.0
59.299368852721614,30.0
60.748730336718666,30.0
59.346122448979585,30.0
59.39287604523756,30.0
61.263019895556326,30.0
59.57989043026943,30.0
57.56948579117673,30.0
59.11235446768973,30.0
59.1591080639477,30.0
61.122759106782425,30.0
59.1591080639477,30.0
61.216266299298354,30.0
58.691572101368024,30.0
61.45003428058821,30.0
60.65522314420272,30.0
61.40328068433024,30.0
59.67339762278537,30.0
61.35652708807227,30.0
59.11235446768973,30.0
62.665627783295406,30.0
59.95391920033319,30.0
61.3097734918143,30.0
60.888991125492566,30.0
59.486383237753486,30.0
58.691572101368024,30.0
59.57989043026943,30.0
59.57989043026943,30.0
60.468208759170864,30.0
62.80588857206932,30.0
59.813658411559274,30.0
60.65522314420272,30.0
59.7669048153013,30.0
60.65522314420272,30.0
61.45003428058821,30.0
60.748730336718666,30.0
60.84223752923461,30.0
57.89676096498253,30.0
