temperature,control,nastaw_t
22.13025982763591,0.0,58.0
22.13025982763591,100.0,58.0
22.083506231377946,100.0,58.0
22.13025982763591,100.0,58.0
21.989999038862003,100.0,58.0
21.989999038862003,100.0,58.0
22.13025982763591,100.0,58.0
22.177013423893882,100.0,58.0
22.177013423893882,100.0,58.0
22.364027808925762,100.0,58.0
22.831563771505458,100.0,58.0
23.205592541569217,100.0,58.0
24.047157274212665,100.0,58.0
24.421186044276418,100.0,58.0
24.935475603114085,100.0,58.0
25.73028673949957,100.0,58.0
26.10431550956332,100.0,58.0
26.80561945343286,100.0,58.0
27.553676993560373,100.0,58.0
28.20822734117194,100.0,58.0
28.816024092525545,100.0,58.0
29.517328036395085,100.0,58.0
30.31213917278056,100.0,58.0
31.01344311665011,100.0,58.0
31.621239868003713,100.0,58.0
32.04202223432544,100.0,58.0
32.696572581937005,100.0,58.0
33.91216608464422,92.0,58.0
34.332948450965944,100.0,58.0
35.12775958735142,97.0,58.0
35.501788357415165,100.0,58.0
36.810889052638316,92.0,58.0
37.138164226444104,100.0,58.0
38.16674334411944,94.0,58.0
39.00830807676289,98.0,58.0
39.75636561689039,100.0,58.0
40.41091596450197,99.0,58.0
41.39274148591933,97.0,58.0
42.000538237272934,100.0,58.0
42.748595777400425,98.0,58.0
43.96418928010765,92.0,58.0
44.71224682023515,97.0,58.0
44.805754012751095,100.0,58.0
45.6940723416525,96.0,58.0
46.76940505558581,93.0,58.0
47.65772338448723,94.0,58.0
48.26552013584083,97.0,58.0
48.77980969467849,98.0,58.0
49.20059206100022,99.0,58.0
49.761635216095854,98.0,58.0
50.50969275622336,96.0,58.0
51.35125748886682,93.0,58.0
52.37983660654214,89.0,58.0
52.987633357895746,92.0,58.0
53.64218370550731,90.0,58.0
54.67076282318263,84.0,58.0
55.0447915932464,89.0,58.0
55.60583474834203,86.0,58.0
56.49415307724345,80.0,58.0
56.44739948098548,89.0,58.0
56.96168903982314,83.0,58.0
57.52273219491879,80.0,58.0
58.13052894627238,78.0,58.0
58.691572101368024,76.0,58.0
59.299368852721614,73.0,58.0
59.39287604523756,77.0,58.0
60.234440777881005,66.0,58.0
60.51496235542882,69.0,58.0
61.1695127030404,63.0,58.0
61.68380226187806,61.0,58.0
61.917570243167916,62.0,58.0
62.38510620574759,57.0,58.0
62.525366994521505,58.0,58.0
63.413685323422925,47.0,58.0
63.927974882260585,47.0,58.0
64.11498926729246,47.0,58.0
64.76953961490405,39.0,58.0
64.44226444109826,47.0,58.0
65.09681478870982,34.0,58.0
65.00330759619388,39.0,58.0
65.00330759619388,37.0,58.0
65.47084355877358,29.0,58.0
65.79811873257937,27.0,58.0
65.61110434754748,30.0,58.0
65.56435075128951,27.0,58.0
65.61110434754748,24.0,58.0
66.2189010989011,15.0,58.0
66.2189010989011,18.0,58.0
66.17214750264313,17.0,58.0
66.2189010989011,13.0,58.0
66.359161887675,10.0,58.0
66.2189010989011,11.0,58.0
66.82669785025469,0.0,58.0
66.82669785025469,5.0,58.0
66.63968346522282,5.0,58.0
66.82669785025469,0.0,58.0
66.68643706148077,2.0,58.0
66.73319065773875,0.0,58.0
66.9669586390286,0.0,58.0
66.63968346522282,2.0,58.0
66.45266908019094,0.0,58.0
66.68643706148077,0.0,58.0
66.87345144651266,0.0,58.0
66.63968346522282,0.0,58.0
66.63968346522282,0.0,58.0
66.59292986896484,0.0,58.0
66.63968346522282,0.0,58.0
66.68643706148077,0.0,58.0
66.59292986896484,0.0,58.0
66.73319065773875,0.0,58.0
66.40591548393297,1.0,58.0
66.59292986896484,0.0,58.0
66.40591548393297,0.0,58.0
66.45266908019094,0.0,58.0
66.45266908019094,0.0,58.0
66.49942267644892,0.0,58.0
66.59292986896484,0.0,58.0
66.82669785025469,0.0,58.0
66.49942267644892,0.0,58.0
66.40591548393297,0.0,58.0
66.31240829141703,0.0,58.0
66.59292986896484,0.0,58.0
66.2189010989011,0.0,58.0
66.68643706148077,0.0,58.0
66.45266908019094,0.0,58.0
65.89162592509531,3.0,58.0
66.12539390638516,0.0,58.0
65.98513311761124,0.0,58.0
66.2189010989011,0.0,58.0
66.26565469515907,0.0,58.0
66.2189010989011,0.0,58.0
66.03188671386921,0.0,58.0
66.2189010989011,0.0,58.0
66.03188671386921,0.0,58.0
65.93837952135328,0.0,58.0
65.89162592509531,0.0,58.0
65.65785794380545,0.0,58.0
65.79811873257937,0.0,58.0
65.47084355877358,0.0,58.0
65.7513651363214,0.0,58.0
65.33058276999967,0.0,58.0
65.61110434754748,0.0,58.0
65.47084355877358,0.0,58.0
65.33058276999967,0.0,58.0
65.2838291737417,0.0,58.0
65.33058276999967,0.0,58.0
65.37733636625764,0.0,58.0
65.23707557748372,0.0,58.0
65.42408996251561,0.0,58.0
64.90980040367795,2.0,58.0
65.23707557748372,0.0,58.0
65.1435683849678,0.0,58.0
65.09681478870982,0.0,58.0
64.6760324223881,0.0,58.0
64.90980040367795,0.0,58.0
64.95655399993592,0.0,58.0
64.53577163361419,0.0,58.0
64.6760324223881,0.0,58.0
64.81629321116202,0.0,58.0
64.76953961490405,0.0,58.0
64.58252522987216,0.0,58.0
64.25525005606637,0.0,58.0
64.6760324223881,0.0,58.0
64.39551084484029,0.0,58.0
64.58252522987216,0.0,58.0
64.39551084484029,0.0,58.0
64.30200365232434,0.0,58.0
64.02148207477653,0.0,58.0
64.25525005606637,0.0,58.0
64.34875724858232,0.0,58.0
63.881221286002614,1.0,58.0
63.97472847851856,0.0,58.0
63.78771409348667,0.0,58.0
64.02148207477653,0.0,58.0
63.74096049722871,0.0,58.0
63.50719251593887,0.0,58.0
63.69420690097074,0.0,58.0
63.4604389196809,0.0,58.0
63.36693172716497,0.0,58.0
63.83446768974464,0.0,58.0
63.881221286002614,0.0,58.0
63.320178130906996,2.0,58.0
63.553946112196826,0.0,58.0
63.36693172716497,0.0,58.0
63.13316374587511,0.0,58.0
63.273424534649024,0.0,58.0
63.22667093839105,0.0,58.0
63.273424534649024,0.0,58.0
63.08641014961714,0.0,58.0
63.17991734213308,0.0,58.0
62.80588857206932,1.0,58.0
62.85264216832729,0.0,58.0
62.71238137955338,0.0,58.0
63.03965655335918,0.0,58.0
62.85264216832729,0.0,58.0
62.75913497581135,0.0,58.0
62.80588857206932,0.0,58.0
62.61887418703745,0.0,58.0
62.57212059077948,0.0,58.0
62.899395764585265,0.0,58.0
62.29159901323166,4.0,58.0
62.47861339826353,0.0,58.0
62.57212059077948,0.0,58.0
62.47861339826353,0.0,58.0
62.19809182071572,0.0,58.0
62.57212059077948,0.0,58.0
62.0578310319418,2.0,58.0
62.43185980200556,0.0,58.0
62.38510620574759,0.0,58.0
61.96432383942587,1.0,58.0
61.96432383942587,0.0,58.0
62.0578310319418,0.0,58.0
61.73055585813603,0.0,58.0
61.73055585813603,0.0,58.0
62.01107743568383,0.0,58.0
61.68380226187806,0.0,58.0
61.73055585813603,0.0,58.0
61.96432383942587,0.0,58.0
61.777309454394,0.0,58.0
61.40328068433024,1.0,58.0
61.216266299298354,0.0,58.0
61.3097734918143,0.0,58.0
61.3097734918143,0.0,58.0
61.35652708807227,0.0,58.0
60.79548393297664,5.0,58.0
61.1695127030404,0.0,58.0
61.216266299298354,0.0,58.0
60.79548393297664,3.0,58.0
61.122759106782425,0.0,58.0
61.3097734918143,0.0,58.0
61.35652708807227,0.0,58.0
60.51496235542882,7.0,58.0
61.07600551052445,0.0,58.0
60.98249831800851,0.0,58.0
60.60846954794475,1.0,58.0
61.1695127030404,0.0,58.0
60.42145516291289,5.0,58.0
60.98249831800851,0.0,58.0
60.65522314420272,0.0,58.0
60.748730336718666,0.0,58.0
60.37470156665492,1.0,58.0
60.094179989107104,1.0,58.0
60.32794797039695,0.0,58.0
60.234440777881005,0.0,58.0
60.42145516291289,0.0,58.0
60.51496235542882,0.0,58.0
60.234440777881005,0.0,58.0
59.7669048153013,3.0,58.0
60.51496235542882,0.0,58.0
60.28119437413898,0.0,58.0
60.37470156665492,0.0,58.0
59.90716560407522,2.0,58.0
59.7669048153013,0.0,58.0
60.140933585365076,0.0,58.0
59.486383237753486,5.0,58.0
59.439629641495515,0.0,58.0
59.486383237753486,0.0,58.0
59.57989043026943,0.0,58.0
59.486383237753486,0.0,58.0
59.7669048153013,0.0,58.0
59.39287604523756,3.0,58.0
59.813658411559274,0.0,58.0
59.20586166020567,5.0,58.0
59.299368852721614,0.0,58.0
59.439629641495515,0.0,58.0
59.1591080639477,2.0,58.0
59.439629641495515,0.0,58.0
59.299368852721614,0.0,58.0
59.065600871431755,2.0,58.0
59.065600871431755,0.0,58.0
59.11235446768973,0.0,58.0
59.1591080639477,0.0,58.0
59.065600871431755,0.0,58.0
58.691572101368024,4.0,58.0
59.11235446768973,0.0,58.0
59.11235446768973,0.0,58.0
58.831832890141925,2.0,58.0
58.411050523820194,5.0,58.0
58.411050523820194,1.0,58.0
58.36429692756222,2.0,58.0
58.831832890141925,0.0,58.0
58.411050523820194,5.0,58.0
58.411050523820194,1.0,58.0
58.36429692756222,1.0,58.0
58.411050523820194,0.0,58.0
58.411050523820194,0.0,58.0
58.27078973504629,2.0,58.0
58.411050523820194,0.0,58.0
57.99026815749846,6.0,58.0
58.27078973504629,0.0,58.0
58.27078973504629,1.0,58.0
58.31754333130425,0.0,58.0
58.31754333130425,1.0,58.0
58.457804120078166,0.0,58.0
58.411050523820194,0.0,58.0
57.662992983692675,10.0,58.0
58.22403613878832,0.0,58.0
58.13052894627238,2.0,58.0
57.56948579117673,8.0,58.0
57.429225002402845,5.0,58.0
57.85000736872456,0.0,58.0
58.037021753756434,0.0,58.0
57.56948579117673,8.0,58.0
57.80325377246659,1.0,58.0
57.662992983692675,5.0,58.0
57.6162393874347,4.0,58.0
57.6162393874347,4.0,58.0
57.662992983692675,3.0,58.0
57.6162393874347,4.0,58.0
57.24221061737097,9.0,58.0
57.195457021113,6.0,58.0
57.3357178098869,4.0,58.0
57.3357178098869,6.0,58.0
57.28896421362893,7.0,58.0
56.96168903982314,11.0,58.0
56.96168903982314,8.0,58.0
57.47597859866082,1.0,58.0
57.195457021113,10.0,58.0
56.634413866017354,15.0,58.0
