temperatura,regulacja,nastaw_t
40.41091596450197,0.0,47.0
40.64468394579181,23.0,47.0
40.45766956075994,29.0,47.0
40.55117675327588,28.0,47.0
41.205727100887444,22.0,47.0
41.205727100887444,30.0,47.0
40.41091596450197,41.0,47.0
41.01871271585557,28.0,47.0
41.1122199083715,34.0,47.0
41.01871271585557,37.0,47.0
41.205727100887444,36.0,47.0
40.9719591195976,42.0,47.0
40.92520552333963,42.0,47.0
40.45766956075994,49.0,47.0
41.29923429340339,36.0,47.0
40.78494473456571,52.0,47.0
41.29923429340339,42.0,47.0
40.9719591195976,52.0,47.0
41.15897350462947,48.0,47.0
41.205727100887444,51.0,47.0
41.205727100887444,53.0,47.0
41.67326306346713,48.0,47.0
41.34598788966136,58.0,47.0
41.39274148591933,56.0,47.0
41.720016659725104,54.0,47.0
41.39274148591933,62.0,47.0
41.62650946720916,58.0,47.0
42.32781341107872,52.0,47.0
41.720016659725104,68.0,47.0
42.28105981482075,56.0,47.0
42.140799026046835,64.0,47.0
42.46807419985262,60.0,47.0
42.655088584884496,62.0,47.0
42.93561016243231,61.0,47.0
43.21613173998013,61.0,47.0
43.122624547464184,66.0,47.0
43.63691410630186,59.0,47.0
43.68366770255983,64.0,47.0
43.917435683849675,62.0,47.0
44.24471085765545,61.0,47.0
44.10445006888155,66.0,47.0
44.852507609009066,56.0,47.0
44.75900041649312,65.0,47.0
45.50705795662064,55.0,47.0
45.64731874539453,60.0,47.0
46.02134751545829,57.0,47.0
45.46030436036267,68.0,47.0
45.64731874539453,60.0,47.0
46.11485470797423,56.0,47.0
46.11485470797423,61.0,47.0
46.39537628552205,57.0,47.0
46.629144266811906,57.0,47.0
47.42395540319737,49.0,47.0
47.65772338448723,53.0,47.0
47.984998558293015,51.0,47.0
47.75123057700317,56.0,47.0
47.984998558293015,51.0,47.0
48.405780924614746,47.0,47.0
48.031752154550986,56.0,47.0
48.49928811713069,46.0,47.0
49.013577675968335,43.0,47.0
48.592795309646604,53.0,47.0
48.82656329093646,45.0,47.0
49.808388812353826,34.0,47.0
49.387606446032095,48.0,47.0
49.52786723480601,42.0,47.0
49.94864960112774,37.0,47.0
50.55644635248133,32.0,47.0
49.94864960112774,44.0,47.0
50.1356639861596,36.0,47.0
50.97722871880306,26.0,47.0
50.416185563707415,39.0,47.0
50.790214333771175,29.0,47.0
50.416185563707415,36.0,47.0
51.02398231506103,24.0,47.0
51.210996700092906,26.0,47.0
50.83696793002915,31.0,47.0
51.444764681382765,19.0,47.0
51.25775029635088,26.0,47.0
51.07073591131899,25.0,47.0
51.818793451446496,13.0,47.0
51.63177906641462,21.0,47.0
51.210996700092906,23.0,47.0
51.818793451446496,11.0,47.0
52.1460686252523,11.0,47.0
51.63177906641462,19.0,47.0
52.00580783647838,8.0,47.0
52.2863294140262,7.0,47.0
