temperatura,regulacja,regulacja_pid,nastaw_t
29.75109601768493,99.95007107252337,0.0,58.0
28.769270496267573,100.0,100.0,58.0
29.190052862589305,99.95098376420125,100.0,58.0
28.769270496267573,100.0,100.0,58.0
30.078371191490724,99.97825841332343,100.0,58.0
31.38747188671387,100.0,100.0,58.0
31.714747060519656,99.28186535675499,100.0,58.0
31.247211097939953,100.0,100.0,58.0
32.883586966968885,99.50476123308584,93.0,58.0
33.72515169961234,93.7964592257429,100.0,58.0
34.332948450965944,99.93304859208956,100.0,58.0
34.7069772210297,97.5636281906848,100.0,58.0
34.94074520231953,97.8972205913793,100.0,58.0
35.501788357415165,99.90047249028905,98.0,58.0
36.249845897542684,100.0,100.0,58.0
36.34335309005863,100.0,100.0,58.0
37.51219299650786,100.0,96.0,58.0
37.37193220773395,100.0,100.0,58.0
37.32517861147598,100.0,100.0,58.0
38.26025053663537,100.0,100.0,58.0
38.40051132540928,99.95523409453017,100.0,58.0
40.13039438695415,99.71665001825713,86.0,58.0
40.78494473456571,98.91214849443458,98.0,58.0
40.73819113830774,99.00678238702997,100.0,58.0
42.18755262230481,100.0,90.0,58.0
41.67326306346713,96.10392018046937,100.0,58.0
41.766770255983076,96.4052027728444,100.0,58.0
43.029117354948255,97.94633021453802,92.0,58.0
43.96418928010765,94.58547486216702,95.0,58.0
43.403146125012015,100.0,100.0,58.0
42.748595777400425,93.10933813362954,100.0,58.0
46.48888347803799,96.53043230442933,64.0,58.0
46.1616083042322,98.40223901445842,100.0,58.0
45.74082593791047,96.9069505665995,100.0,58.0
46.39537628552205,97.35296518280973,95.0,58.0
46.1616083042322,98.40223901445842,100.0,58.0
46.629144266811906,94.13512558296591,98.0,58.0
47.47070899945534,75.16759493655675,95.0,58.0
48.17201294332489,88.16527300636588,96.0,58.0
49.434360042290066,94.20640492640973,88.0,58.0
48.77980969467849,75.57368937622776,100.0,58.0
50.32267837119147,84.06805858571428,84.0,58.0
52.613604587831986,66.01799987329741,71.0,58.0
50.696707141255246,93.50812156908398,100.0,58.0
49.71488161983788,71.66543088766933,100.0,58.0
53.501922916733406,41.28948234063326,55.0,58.0
50.042156793643656,67.79811265172656,100.0,58.0
50.7434607375132,93.36659832209817,95.0,58.0
52.426590202800114,60.16588278969754,81.0,58.0
53.17464774292762,52.40037087243741,88.0,58.0
54.857777208214515,60.97922421132825,74.0,58.0
51.772039855188524,50.50997230373221,100.0,58.0
52.613604587831986,66.01799987329741,92.0,58.0
56.12012430717968,27.169545190564527,55.0,58.0
57.943514561240505,9.574129375810294,63.0,58.0
57.3357178098869,15.315545062253655,88.0,58.0
55.231805978278274,58.54843551980969,100.0,58.0
55.83960272963188,32.529569392243225,83.0,58.0
57.10194982859706,16.85110280063345,72.0,58.0
55.93310992214782,30.410183509530903,99.0,58.0
57.56948579117673,13.978404452250466,68.0,58.0
55.74609553711595,35.24555182879357,100.0,58.0
55.51232755582609,45.163625176636465,93.0,58.0
56.260385095953595,25.095525758816798,82.0,58.0
59.57989043026943,0.6476554396730592,46.0,58.0
58.457804120078166,8.080723248105933,90.0,58.0
57.99026815749846,9.083454711049576,86.0,58.0
58.55131131259411,8.147689356487895,74.0,58.0
59.01884727517378,6.906347835185599,73.0,58.0
58.691572101368024,8.102180202739653,81.0,58.0
55.93310992214782,30.410183509530903,100.0,58.0
57.52273219491879,14.324805949683828,69.0,58.0
60.51496235542882,0.07963476757605292,44.0,58.0
58.97209367891584,7.231669765633832,90.0,58.0
56.96168903982314,18.157045006041876,100.0,58.0
59.299368852721614,3.6729707018835214,54.0,58.0
58.64481850511005,8.137822048474085,83.0,58.0
58.36429692756222,7.967565560518047,81.0,58.0
57.429225002402845,14.865502636094966,90.0,58.0
59.813658411559274,0.05526178305973417,51.0,58.0
59.6266440265274,0.400386114076575,75.0,58.0
59.299368852721614,3.6729707018835214,77.0,58.0
59.39287604523756,2.4358557638635503,72.0,58.0
59.439629641495515,1.8800959688774057,72.0,58.0
59.11235446768973,6.0455131253046375,76.0,58.0
58.27078973504629,7.890550313482159,84.0,58.0
57.28896421362893,15.552690843430533,89.0,58.0
57.662992983692675,13.089910720146868,76.0,58.0
59.860412007817246,0.062822736619907,51.0,58.0
57.89676096498253,10.129991288290235,95.0,58.0
60.51496235542882,0.07963476757605292,44.0,58.0
