temperatura,regulacja,nastaw_t
22.691302982731557,0.0,52.0
22.925070964021394,100.0,52.0
22.597795790215613,100.0,52.0
22.878317367763422,100.0,52.0
22.878317367763422,100.0,52.0
22.831563771505458,100.0,52.0
22.878317367763422,100.0,52.0
22.410781405183734,100.0,52.0
22.410781405183734,100.0,52.0
22.831563771505458,100.0,52.0
22.971824560279366,100.0,52.0
23.392606926601097,100.0,52.0
24.327678851760474,100.0,52.0
24.514693236792354,100.0,52.0
24.561446833050326,100.0,52.0
25.403011565693774,99.0,52.0
26.010808317047378,100.0,52.0
26.665358664658953,100.0,52.0
26.99263383846474,100.0,52.0
28.02121295614006,93.0,52.0
28.53550251497773,100.0,52.0
29.04979207381539,100.0,52.0
29.938110402716816,93.0,52.0
30.49915355781244,100.0,52.0
31.247211097939953,100.0,52.0
31.808254253035585,100.0,52.0
32.416051004389196,100.0,52.0
33.02384775574279,100.0,52.0
33.67839810335437,100.0,52.0
34.28619485470797,100.0,52.0
34.75373081728766,100.0,52.0
35.68880274244705,96.0,52.0
36.5303674750905,98.0,52.0
37.09141063018613,100.0,52.0
37.60570018902381,100.0,52.0
38.77454009547303,90.0,52.0
39.19532246179476,98.0,52.0
39.849872809406335,97.0,52.0
40.78494473456571,94.0,52.0
42.09404542978886,88.0,52.0
42.748595777400425,94.0,52.0
42.84210296991637,100.0,52.0
43.496653317527944,93.0,52.0
43.96418928010765,95.0,52.0
44.61873962771921,93.0,52.0
45.226536379072826,93.0,52.0
45.88108672668439,92.0,52.0
46.76940505558581,88.0,52.0
47.47070899945534,88.0,52.0
48.031752154550986,88.0,52.0
48.45253452087272,89.0,52.0
48.592795309646604,91.0,52.0
49.15383846474225,86.0,52.0
49.62137442732194,86.0,52.0
49.99540319738571,86.0,52.0
50.790214333771175,80.0,52.0
51.58502547015665,77.0,52.0
52.473343799058085,72.0,52.0
52.89412616537982,75.0,52.0
53.73569089802325,67.0,52.0
53.875951686797166,73.0,52.0
54.48374843815077,66.0,52.0
54.390241245634826,72.0,52.0
55.1850523820203,60.0,52.0
54.99803799698843,69.0,52.0
55.13829878576233,64.0,52.0
55.41882036331015,61.0,52.0
55.97986351840579,56.0,52.0
57.10194982859706,45.0,52.0
57.008442636081114,55.0,52.0
57.99026815749846,40.0,52.0
58.083775350014406,46.0,52.0
57.89676096498253,48.0,52.0
57.943514561240505,44.0,52.0
58.36429692756222,37.0,52.0
59.299368852721614,27.0,52.0
58.73832569762598,41.0,52.0
59.39287604523756,26.0,52.0
58.97209367891584,35.0,52.0
59.7669048153013,19.0,52.0
60.04742639284913,21.0,52.0
59.346122448979585,30.0,52.0
60.28119437413898,10.0,52.0
60.51496235542882,13.0,52.0
59.7669048153013,23.0,52.0
59.813658411559274,14.0,52.0
60.56171595168678,2.0,52.0
60.04742639284913,13.0,52.0
60.888991125492566,0.0,52.0
60.140933585365076,13.0,52.0
60.93574472175054,0.0,52.0
60.37470156665492,8.0,52.0
60.98249831800851,0.0,52.0
60.37470156665492,7.0,52.0
61.3097734918143,0.0,52.0
60.65522314420272,4.0,52.0
61.216266299298354,0.0,52.0
61.35652708807227,0.0,52.0
60.748730336718666,1.0,52.0
61.40328068433024,0.0,52.0
61.263019895556326,0.0,52.0
60.93574472175054,0.0,52.0
61.35652708807227,0.0,52.0
60.56171595168678,1.0,52.0
60.98249831800851,0.0,52.0
61.40328068433024,0.0,52.0
61.1695127030404,0.0,52.0
60.56171595168678,0.0,52.0
60.84223752923461,0.0,52.0
60.98249831800851,0.0,52.0
60.84223752923461,0.0,52.0
61.3097734918143,0.0,52.0
60.65522314420272,0.0,52.0
60.701976740460694,0.0,52.0
60.42145516291289,0.0,52.0
61.122759106782425,0.0,52.0
60.98249831800851,0.0,52.0
61.02925191426648,0.0,52.0
60.79548393297664,0.0,52.0
60.65522314420272,0.0,52.0
61.216266299298354,0.0,52.0
60.37470156665492,0.0,52.0
61.02925191426648,0.0,52.0
60.42145516291289,0.0,52.0
60.234440777881005,0.0,52.0
60.32794797039695,0.0,52.0
60.42145516291289,0.0,52.0
60.32794797039695,0.0,52.0
60.37470156665492,0.0,52.0
60.37470156665492,0.0,52.0
60.84223752923461,0.0,52.0
60.00067279659116,1.0,52.0
60.748730336718666,0.0,52.0
60.60846954794475,0.0,52.0
60.18768718162303,0.0,52.0
60.701976740460694,0.0,52.0
60.701976740460694,0.0,52.0
60.468208759170864,0.0,52.0
60.234440777881005,0.0,52.0
60.56171595168678,0.0,52.0
60.51496235542882,0.0,52.0
59.813658411559274,0.0,52.0
59.860412007817246,0.0,52.0
59.860412007817246,0.0,52.0
59.53313683401146,0.0,52.0
60.18768718162303,0.0,52.0
60.32794797039695,0.0,52.0
59.6266440265274,0.0,52.0
