temperatura,regulacja,nastaw_t
22.971824560279366,0.0,45.0
22.831563771505458,90.0,45.0
23.158838945311246,90.0,45.0
23.532867715374998,94.0,45.0
23.158838945311246,100.0,45.0
23.205592541569217,100.0,45.0
23.018578156537338,100.0,45.0
22.971824560279366,100.0,45.0
23.345853330343125,100.0,45.0
23.486114119117026,100.0,45.0
23.860142889180786,100.0,45.0
24.374432448018446,100.0,45.0
24.561446833050326,100.0,45.0
24.84196841059815,100.0,45.0
25.028982795630014,100.0,45.0
26.10431550956332,88.0,45.0
26.712112260916918,95.0,45.0
26.99263383846474,100.0,45.0
27.927705763624132,92.0,45.0
28.53550251497773,97.0,45.0
28.72251690000961,100.0,45.0
29.657588825168993,94.0,45.0
29.938110402716816,100.0,45.0
30.732921539102293,95.0,45.0
31.340718290455897,98.0,45.0
31.995268638067465,98.0,45.0
32.696572581937005,98.0,45.0
33.397876525806545,99.0,45.0
34.66022362477173,92.0,45.0
35.03425239483548,100.0,45.0
35.501788357415165,98.0,45.0
36.01607791625284,98.0,45.0
36.43686028257456,100.0,45.0
37.23167141896005,95.0,45.0
38.073236151603496,93.0,45.0
39.05506167302086,90.0,45.0
39.80311921314836,91.0,45.0
40.17714798321211,94.0,45.0
41.01871271585557,88.0,45.0
41.53300227469323,90.0,45.0
42.23430621856278,86.0,45.0
42.18755262230481,94.0,45.0
43.169378143722156,81.0,45.0
44.057696472623576,79.0,45.0
43.917435683849675,89.0,45.0
44.47847883894531,81.0,45.0
45.36679716784673,74.0,45.0
46.208361900490175,71.0,45.0
46.02134751545829,81.0,45.0
46.81615865184378,69.0,45.0
47.236941018165496,70.0,45.0
47.65772338448723,68.0,45.0
48.12525934706693,65.0,45.0
48.592795309646604,62.0,45.0
49.71488161983788,51.0,45.0
49.387606446032095,64.0,45.0
49.8551424086118,54.0,45.0
50.1356639861596,53.0,45.0
51.07073591131899,42.0,45.0
51.63177906641462,42.0,45.0
50.790214333771175,56.0,45.0
51.63177906641462,36.0,45.0
51.725286258930566,41.0,45.0
51.39801108512479,44.0,45.0
52.23957581776823,28.0,45.0
51.772039855188524,40.0,45.0
52.00580783647838,31.0,45.0
52.2863294140262,28.0,45.0
52.473343799058085,26.0,45.0
53.455169320475434,13.0,45.0
53.78244449428122,15.0,45.0
54.10971966808701,12.0,45.0
53.64218370550731,18.0,45.0
53.501922916733406,14.0,45.0
53.501922916733406,10.0,45.0
53.455169320475434,9.0,45.0
54.15647326434498,0.0,45.0
53.64218370550731,10.0,45.0
53.73569089802325,2.0,45.0
53.68893730176528,1.0,45.0
54.016212475571066,0.0,45.0
53.969458879313095,0.0,45.0
54.62400922692467,0.0,45.0
54.4369948418928,0.0,45.0
54.4369948418928,0.0,45.0
54.10971966808701,0.0,45.0
54.7175164194406,0.0,45.0
54.20322686060295,1.0,45.0
54.249980456860925,0.0,45.0
54.81102361195654,0.0,45.0
54.20322686060295,0.0,45.0
54.4369948418928,0.0,45.0
54.34348764937687,0.0,45.0
54.76427001569857,0.0,45.0
54.390241245634826,0.0,45.0
54.4369948418928,0.0,45.0
54.62400922692467,0.0,45.0
54.76427001569857,0.0,45.0
54.95128440073046,0.0,45.0
54.95128440073046,0.0,45.0
54.390241245634826,0.0,45.0
54.249980456860925,0.0,45.0
54.95128440073046,0.0,45.0
54.2967340531189,0.0,45.0
54.249980456860925,0.0,45.0
54.48374843815077,0.0,45.0
54.2967340531189,0.0,45.0
54.4369948418928,0.0,45.0
54.249980456860925,0.0,45.0
54.249980456860925,0.0,45.0
54.76427001569857,0.0,45.0
54.4369948418928,0.0,45.0
54.857777208214515,0.0,45.0
54.7175164194406,0.0,45.0
54.10971966808701,0.0,45.0
54.15647326434498,0.0,45.0
54.2967340531189,0.0,45.0
54.20322686060295,0.0,45.0
54.34348764937687,0.0,45.0
54.7175164194406,0.0,45.0
54.67076282318263,0.0,45.0
54.67076282318263,0.0,45.0
54.20322686060295,0.0,45.0
54.34348764937687,0.0,45.0
54.67076282318263,0.0,45.0
54.62400922692467,0.0,45.0
54.10971966808701,0.0,45.0
54.016212475571066,0.0,45.0
53.875951686797166,0.0,45.0
54.016212475571066,0.0,45.0
54.15647326434498,0.0,45.0
54.48374843815077,0.0,45.0
53.875951686797166,1.0,45.0
54.4369948418928,0.0,45.0
54.4369948418928,0.0,45.0
54.249980456860925,0.0,45.0
54.15647326434498,0.0,45.0
54.20322686060295,0.0,45.0
54.06296607182904,0.0,45.0
54.249980456860925,0.0,45.0
53.59543010924935,0.0,45.0
53.59543010924935,0.0,45.0
54.10971966808701,0.0,45.0
53.875951686797166,0.0,45.0
54.15647326434498,0.0,45.0
54.15647326434498,0.0,45.0
54.10971966808701,0.0,45.0
53.455169320475434,1.0,45.0
53.68893730176528,0.0,45.0
53.829198090539194,0.0,45.0
54.016212475571066,0.0,45.0
53.969458879313095,0.0,45.0
53.829198090539194,0.0,45.0
53.64218370550731,0.0,45.0
53.26815493544355,0.0,45.0
53.17464774292762,0.0,45.0
53.54867651299138,0.0,45.0
53.73569089802325,0.0,45.0
53.31490853170152,0.0,45.0
53.54867651299138,0.0,45.0
52.987633357895746,0.0,45.0
52.940879761637774,0.0,45.0
53.31490853170152,0.0,45.0
52.940879761637774,0.0,45.0
53.081140550411675,0.0,45.0
53.17464774292762,0.0,45.0
52.847372569121845,0.0,45.0
52.89412616537982,0.0,45.0
52.89412616537982,0.0,45.0
53.221401339185576,0.0,45.0
52.80061897286387,0.0,45.0
52.70711178034793,0.0,45.0
52.70711178034793,0.0,45.0
53.081140550411675,0.0,45.0
52.89412616537982,0.0,45.0
52.566850991574015,0.0,45.0
53.221401339185576,0.0,45.0
52.89412616537982,0.0,45.0
52.613604587831986,0.0,45.0
52.426590202800114,0.0,45.0
52.7538653766059,0.0,45.0
52.987633357895746,0.0,45.0
52.70711178034793,0.0,45.0
52.52009739531604,0.0,45.0
52.66035818408996,0.0,45.0
52.847372569121845,0.0,45.0
52.33308301028417,2.0,45.0
52.473343799058085,0.0,45.0
52.192822221510255,0.0,45.0
52.66035818408996,0.0,45.0
52.1460686252523,0.0,45.0
52.80061897286387,0.0,45.0
52.37983660654214,0.0,45.0
52.613604587831986,0.0,45.0
52.2863294140262,0.0,45.0
52.00580783647838,0.0,45.0
52.052561432736354,0.0,45.0
52.1460686252523,0.0,45.0
52.192822221510255,0.0,45.0
51.86554704770447,0.0,45.0
52.566850991574015,0.0,45.0
51.818793451446496,2.0,45.0
52.052561432736354,0.0,45.0
52.33308301028417,0.0,45.0
52.099315028994326,0.0,45.0
51.86554704770447,0.0,45.0
52.00580783647838,0.0,45.0
52.099315028994326,0.0,45.0
51.725286258930566,0.0,45.0
51.772039855188524,0.0,45.0
52.1460686252523,0.0,45.0
52.099315028994326,0.0,45.0
51.95905424022041,0.0,45.0
51.58502547015665,0.0,45.0
51.86554704770447,0.0,45.0
52.052561432736354,0.0,45.0
51.86554704770447,0.0,45.0
51.91230064396244,0.0,45.0
51.95905424022041,0.0,45.0
51.35125748886682,1.0,45.0
51.30450389260885,0.0,45.0
51.772039855188524,0.0,45.0
51.49151827764072,0.0,45.0
51.91230064396244,0.0,45.0
51.25775029635088,0.0,45.0
51.11748950757696,0.0,45.0
51.538271873898694,0.0,45.0
51.164243103834934,0.0,45.0
51.725286258930566,0.0,45.0
51.58502547015665,0.0,45.0
50.93047512254509,1.0,45.0
51.538271873898694,0.0,45.0
51.63177906641462,0.0,45.0
51.49151827764072,0.0,45.0
51.02398231506103,0.0,45.0
51.39801108512479,0.0,45.0
51.39801108512479,0.0,45.0
50.790214333771175,0.0,45.0
50.93047512254509,0.0,45.0
51.35125748886682,0.0,45.0
50.649953544997274,1.0,45.0
50.696707141255246,0.0,45.0
51.30450389260885,0.0,45.0
